,event_id,member_id,group_id
567,235149668,115604192,20909584
568,235149668,214729620,20909584
569,243265876,157144422,22930798
570,243265876,5705522,22930798
571,msdswnywnblc,80142302,25810092
572,msdswnywnblc,221678171,25810092
573,msdswnywnblc,209156551,25810092
574,msdswnywnblc,92840882,25810092
575,msdswnywnblc,13621891,25810092
576,243482324,80142302,25810092
577,243482324,21563471,25810092
578,243482324,209156551,25810092
579,243482324,12803218,25810092
580,243482324,44248832,25810092
581,243482324,92840882,25810092
582,243803866,80142302,25810092
583,243803866,221678171,25810092
584,243803866,209156551,25810092
585,243803866,92840882,25810092
586,244278467,206821679,26294237
587,244278467,213203760,26294237
588,244278467,235931560,26294237
589,244278467,21656671,26294237
590,ctjgqnywnbpb,233083796,25493984
591,ctjgqnywnbgb,232301883,25493984
592,ctjgqnywnbgb,233083796,25493984
593,ctjgqnywmbkc,190026711,25493984
594,ctjgqnywmbkc,233083796,25493984
595,ctjgqnywmbbc,232301883,25493984
596,ctjgqnywmbbc,233083796,25493984
597,ctjgqnywmbbc,224687825,25493984
598,ctjgqnywmbrb,233083796,25493984
599,ctjgqnywmbjb,232301883,25493984
600,ctjgqnywmbjb,230524749,25493984
601,ctjgqnywmbjb,233083796,25493984
602,ctjgqnywmbjb,224687825,25493984
603,ctjgqnywlbnc,233083796,25493984
604,ctjgqnywlbfc,232301883,25493984
605,ctjgqnywlbfc,233083796,25493984
606,ctjgqnywlbvb,232301883,25493984
607,ctjgqnywlbvb,233083796,25493984
608,243861892,82028462,25694632
609,243861892,227262615,25694632
610,243861892,95204562,25694632
611,243861827,238274522,25694632
612,243861827,227262615,25694632
613,243861827,95204562,25694632
614,243185984,82028462,25694632
615,243185984,218877394,25694632
616,243185984,236828716,25694632
617,243185984,236126587,25694632
618,243185984,235621288,25694632
619,243185984,227262615,25694632
620,243185984,234032624,25694632
621,243021557,82028462,25694632
622,243021557,218877394,25694632
623,243021557,227262615,25694632
624,243021557,95204562,25694632
625,241968403,214983548,23984060
626,241968403,231627231,23984060
627,241968403,218596591,23984060
628,241968403,222611896,23984060
629,241968403,227672599,23984060
630,241968403,232046310,23984060
631,241063498,232011064,23984060
632,241063498,214983548,23984060
633,241063498,231627231,23984060
634,241063498,218596591,23984060
635,241063498,232046310,23984060
636,240240233,214983548,23984060
637,240240233,218596591,23984060
638,240240233,227672599,23984060
639,236909728,215194572,20793609
640,235996797,200790668,20793609
641,235996797,215194572,20793609
642,235252965,215194572,20793609
643,235027271,215194572,20793609
644,243589459,178742432,24125934
645,243589459,236392490,24125934
646,243589459,215421190,24125934
647,243589459,235474428,24125934
648,243589459,105492502,24125934
649,243589459,238400895,24125934
650,243589459,204412550,24125934
651,242951707,178742432,24125934
652,242951707,236392490,24125934
653,242951707,215421190,24125934
654,242951707,235474428,24125934
655,242951707,105492502,24125934
656,242951707,204412550,24125934
657,242951707,218668783,24125934
658,242533884,77690372,24125934
659,242533884,215421190,24125934
660,242533884,105492502,24125934
661,242533884,204412550,24125934
662,242190292,178742432,24125934
663,242190292,215421190,24125934
664,242190292,105492502,24125934
665,241373487,178742432,24125934
666,241373487,77690372,24125934
667,241373487,210638960,24125934
668,241373487,215421190,24125934
669,240634805,178742432,24125934
670,240634805,77690372,24125934
671,240634805,210638960,24125934
672,240634805,215421190,24125934
673,240391192,178742432,24125934
674,240391192,77690372,24125934
675,240391192,47572122,24125934
676,240391192,194219253,24125934
677,240391192,210638960,24125934
678,240391192,215421190,24125934
679,240391192,105492502,24125934
680,240391192,223332096,24125934
681,228998222,186028004,19494897
682,242254396,158336642,25273815
683,242254396,3297435,25273815
684,243711311,214119159,26069557
685,243711311,217429206,26069557
686,243711311,236599301,26069557
687,243711311,183056388,26069557
688,243711311,208511672,26069557
689,243711311,238713924,26069557
690,243711311,202311485,26069557
691,243711311,187002184,26069557
692,243711311,227068187,26069557
693,243711311,18382441,26069557
694,243711311,223421595,26069557
695,243711311,188197615,26069557
696,243711311,239255072,26069557
697,243711311,194777944,26069557
698,dkwpqywnbfc,227537137,1037384
699,dkwpqywnbfc,238037151,1037384
700,dkwpqywnbfc,7340356,1037384
701,dkwpqywnbvb,7340356,1037384
702,dkwpqywnbmb,238037151,1037384
703,dkwpqywnbmb,7340356,1037384
704,dkwpqywnbdb,7340356,1037384
705,dkwpqywmbhc,7340356,1037384
706,dkwpqywmbxb,227537137,1037384
707,dkwpqywmbxb,7340356,1037384
708,dkwpqywmbpb,227537137,1037384
709,dkwpqywmbpb,7340356,1037384
710,dkwpqywmbgb,227537137,1037384
711,dkwpqywmbgb,7340356,1037384
712,dkwpqywlblc,227537137,1037384
713,dkwpqywlblc,7340356,1037384
714,dkwpqywlbcc,227537137,1037384
715,dkwpqywlbcc,7340356,1037384
716,dkwpqywlbsb,227537137,1037384
717,dkwpqywlbsb,7340356,1037384
718,dkwpqywlbkb,227537137,1037384
719,dkwpqywlbkb,7340356,1037384
720,dkwpqywkbpc,227537137,1037384
721,dkwpqywkbpc,7340356,1037384
722,dkwpqywkbgc,227537137,1037384
723,dkwpqywkbgc,7340356,1037384
724,dkwpqywkbwb,227537137,1037384
725,dkwpqywkbwb,231108406,1037384
726,dkwpqywkbwb,7340356,1037384
727,dkwpqywkbnb,227537137,1037384
728,dkwpqywkbnb,7340356,1037384
729,dkwpqywkbfb,227537137,1037384
730,dkwpqywkbfb,7340356,1037384
731,dkwpqywjbjc,227537137,1037384
732,dkwpqywjbjc,226317733,1037384
733,dkwpqywjbjc,7340356,1037384
734,dkwpqywjbzb,7340356,1037384
735,dkwpqywjbqb,7340356,1037384
736,dkwpqywjbhb,7340356,1037384
737,dkwpqywhbmc,7340356,1037384
738,dkwpqywhbdc,7340356,1037384
739,dkwpqywhbtb,7340356,1037384
740,dkwpqywhblb,7340356,1037384
741,dkwpqywhbcb,7340356,1037384
742,dkwpqywgbgc,7340356,1037384
743,dkwpqywgbwb,7340356,1037384
744,dkwpqywgbnb,7340356,1037384
745,dkwpqywgbfb,7340356,1037384
746,dkwpqywfbkc,195117020,1037384
747,dkwpqywfbkc,7340356,1037384
748,dkwpqywfbbc,7340356,1037384
749,dkwpqywfbrb,7340356,1037384
750,dkwpqywfbjb,7340356,1037384
751,dkwpqywdbkc,7340356,1037384
752,dkwpqywdbbc,7340356,1037384
753,dkwpqywdbrb,221906851,1037384
754,dkwpqywdbrb,7340356,1037384
755,dkwpqywdbjb,7340356,1037384
756,dkwpqywcbnc,7340356,1037384
757,dkwpqywcbfc,7340356,1037384
758,dkwpqywcbvb,7340356,1037384
759,dkwpqywcbmb,218874238,1037384
760,dkwpqywcbmb,183933852,1037384
761,dkwpqywcbmb,7340356,1037384
762,dkwpqywcbdb,218874238,1037384
763,dkwpqywcbdb,7340356,1037384
764,dkwpqyvqbjc,7340356,1037384
765,dkwpqyvqbzb,7340356,1037384
766,dkwpqyvqbqb,7340356,1037384
767,dkwpqyvqbhb,7340356,1037384
768,dkwpqyvpblc,7340356,1037384
769,dkwpqyvpbcc,7340356,1037384
770,dkwpqyvpbsb,7340356,1037384
771,dkwpqyvpbkb,7340356,1037384
772,dkwpqyvnbpc,7340356,1037384
773,dkwpqyvnbgc,7340356,1037384
774,dkwpqyvnbwb,7340356,1037384
775,dkwpqyvnbnb,7340356,1037384
776,dkwpqyvnbfb,7340356,1037384
777,dkwpqyvmbjc,7340356,1037384
778,dkwpqyvmbzb,7340356,1037384
779,dkwpqyvmbqb,7340356,1037384
780,dkwpqyvmbhb,7340356,1037384
781,dkwpqyvlbmc,7340356,1037384
782,dkwpqyvlbdc,7340356,1037384
