group1,group2,weight
15335602,1787157,1
15335602,19249559,1
15335602,18494105,1
15335602,26040985,1
15335602,191516,1
15335602,6641192,1
15335602,1324203,1
15335602,18180033,1
15335602,227528,5
15335602,18506072,2
15335602,22197221,1
15335602,22422502,1
15335602,19934054,1
15335602,22736876,1
15335602,16548342,1
15335602,11776502,1
18297014,1102353,2
18297014,191516,2
18297014,18955830,13
18297014,20181560,1
18297014,22023226,1
18297014,10000962,1
18297014,339011,6
18297014,1772099,2
18297014,16607822,1
18297014,1457232,5
18297014,6190702,6
18297014,15552112,1
18297014,1741429,1
18297014,929402,2
18297014,1473660,1
18297014,24906881,1
18297014,23398017,1
18297014,1240194,1
18297014,18672773,1
18297014,541319,2
18297014,19708553,1
18297014,19713173,5
18297014,19847832,1
18297014,20186791,1
18297014,18549438,1
18297014,10178242,1
18297014,19556549,1
18297014,227528,2
18297014,14546632,1
18297014,19680459,2
18297014,4705492,2
18297014,11077852,1
18297014,21174496,4
18297014,25681644,1
18297014,18634990,1
18297014,18243826,23
18297014,1505523,2
18297014,6629622,1
18297014,18562307,3
18297014,18495240,3
18297014,12847372,3
18297014,19728145,28
18297014,8805172,1
18297014,1078077,2
18297014,528705,1
18297014,1431882,2
18297014,19496778,1
18297014,24584525,1
18297014,5282132,1
18297014,1371991,8
18297014,18506072,7
18297014,20377949,1
18297014,24811380,1
18297014,1786237,2
18297014,1187715,11
18297014,6335372,1
18297014,14396812,2
18297014,20336043,2
18297014,18314669,5
18297014,18476981,1
18297014,1751502,1
18297014,7699922,6
18297014,1349592,2
18297014,1576921,1
18297014,18573279,1
18297014,1622500,1
18297014,22197221,2
18297014,1642477,5
18297014,19094001,1
18297014,24693747,1
18297014,16548342,1
18297014,11776502,1
18297014,19654655,1
4126912,535553,2
4126912,19194894,3
4126912,21533726,2
4126912,2556962,1
4126912,19528743,1
4126912,22817838,1
4126912,22023226,5
4126912,339011,2
4126912,19964997,3
4126912,21957723,1
4126912,7130232,4
4126912,19713173,1
4126912,18801828,3
4126912,7836842,4
4126912,1324203,1
4126912,18964683,1
4126912,4705492,10
4126912,21043417,1
4126912,11077852,2
4126912,21174496,1
4126912,8771812,1
4126912,18361585,1
4126912,18243826,1
4126912,15297782,5
4126912,18556157,1
4126912,1358081,25
4126912,18562307,1
4126912,1787157,1
4126912,19262745,1
4126912,19416348,3
4126912,1433893,2
4126912,1169709,1
4126912,19108156,5
4126912,528705,1
4126912,11626822,2
4126912,4268372,1
4126912,22021463,4
4126912,18506072,1
4126912,11625832,1
4126912,24553853,1
4126912,3173762,1
4126912,16487812,7
4126912,21686664,1
4126912,19218850,1
4126912,21837219,2
4126912,20583850,1
4126912,405938,1
4126912,16536012,1
4126912,1751502,2
4126912,1622500,3
4126912,19094001,4
4126912,10016242,9
4126912,16548342,1
4126912,18798102,1
4126912,788001,1
4126912,9307682,2
4126912,1728035,9
4126912,18855476,1
4126912,18955830,7
4126912,11294262,2
4126912,10000962,1
4126912,16607822,2
4126912,13560402,3
4126912,16477792,4
4126912,6190702,1
4126912,15552112,1
4126912,24153712,1
4126912,1741429,2
4126912,929402,1
4126912,19033734,1
4126912,541319,4
4126912,1492619,3
4126912,1776274,29
4126912,18494105,6
4126912,252576,2
4126912,16447162,1
4126912,6707902,1
4126912,21989057,2
4126912,10178242,4
4126912,16062152,1
4126912,14649032,2
4126912,14546632,2
4126912,21715712,1
4126912,19728145,3
4126912,16954142,3
4126912,19997487,3
4126912,18471729,4
4126912,1360698,3
4126912,8908602,2
4126912,7700282,1
4126912,18996036,2
4126912,14380872,1
4126912,7151442,2
4126912,19266390,2
4126912,1371991,1
4126912,18779992,2
4126912,5618532,2
4126912,18529135,2
4126912,1187715,2
4126912,19266450,1
4126912,11862932,2
4126912,13728662,1
4126912,1743773,1
4126912,3376042,2
4126912,711599,3
4126912,18589616,2
4126912,17467312,2
4126912,18314164,1
4126912,18476981,1
4126912,9376702,1
4126912,16067522,4
4126912,18616278,3
4126912,1576921,1
4126912,204767,4
4126912,22197221,2
4126912,20197351,1
4126912,526316,1
4126912,8968172,1
4126912,18256892,1
4126912,18414590,1
4126912,19654655,2
19556549,710272,1
19556549,12588802,1
19556549,18562307,1
19556549,18798102,3
19556549,17487002,2
19556549,252576,1
19556549,788001,1
19556549,19218850,1
19556549,6641192,1
19556549,1324203,3
19556549,11938732,1
19556549,405938,1
19556549,1697586,1
19556549,11294262,1
19556549,6707902,1
19556549,1772099,1
19556549,14546632,1
19556549,24584525,1
19556549,24675279,1
19556549,5282132,1
19556549,19100119,1
19556549,22197221,2
19556549,26018023,1
19556549,25587693,1
19556549,2496252,1
19904711,16487812,2
19904711,19728145,1
19904711,11862932,1
19904711,1787157,1
19904711,10016162,1
19904711,17467312,1
19904711,405938,1
19904711,1526075,1
19904711,9376702,1
19904711,10178242,1
19904711,14546632,1
19904711,17872862,1
19904711,22197221,1
19904711,11625832,1
19904711,22736876,1
19904711,19828207,1
227528,191516,1
227528,4631582,1
227528,1728035,1
227528,6641192,1
227528,18955830,4
227528,18658376,1
227528,13560402,1
227528,929402,1
227528,710272,2
227528,541319,1
227528,11375762,1
227528,1776274,1
227528,19713173,2
227528,19847832,1
227528,26040985,2
227528,252576,1
227528,19687074,1
227528,20186791,1
227528,7836842,1
227528,1324203,2
227528,19828398,3
227528,21989057,1
227528,18660552,1
227528,16062152,1
227528,4705492,2
227528,21174496,2
227528,25397992,1
227528,18361585,1
227528,18243826,3
227528,1505523,1
227528,18562307,3
227528,18456837,1
227528,19728145,6
227528,1787157,1
227528,19997487,1
227528,8805172,1
227528,20757821,1
227528,20806988,1
227528,7151442,1
227528,5282132,1
227528,19266390,1
227528,1371991,2
227528,18506072,7
227528,18286946,1
227528,19934054,1
227528,11625832,1
227528,1763190,1
227528,18517376,1
227528,1187715,6
227528,1665418,1
227528,14396812,1
227528,6335372,1
227528,19249559,3
227528,18923420,1
227528,18314669,1
227528,18589616,1
227528,18180033,1
227528,22985677,1
227528,7699922,1
227528,19100119,1
227528,1349592,1
227528,20807142,3
227528,22422502,1
227528,526316,3
227528,1642477,2
227528,19828207,1
227528,10016242,1
227528,24693747,1
227528,11776502,1
18964683,18801828,1
21043417,21715712,1
21043417,18562307,2
21043417,19728145,2
21043417,19416348,2
21043417,16954142,4
21043417,18425641,2
21043417,20181560,1
21043417,7700282,4
21043417,8908602,1
21043417,19964997,2
21043417,14380872,1
21043417,19266390,2
21043417,1371991,1
21043417,18506072,1
21043417,6190702,1
21043417,18529135,1
21043417,21245809,5
21043417,1741429,1
21043417,1492619,1
21043417,19822479,1
21043417,1776274,4
21043417,252576,2
21043417,3376042,2
21043417,20336043,1
21043417,18589616,1
21043417,16067522,4
21043417,1751502,1
21043417,4705492,5
21043417,1498076,2
21043417,21747934,1
21043417,21174496,1
21043417,20807142,2
21043417,22736876,3
11077852,535553,1
11077852,1102353,2
11077852,21533726,1
11077852,2556962,1
11077852,1728035,1
11077852,19528743,1
11077852,22817838,2
11077852,11294262,2
11077852,18955830,4
11077852,20181560,3
11077852,339011,3
11077852,1772099,1
11077852,16607822,1
11077852,13560402,1
11077852,16477792,3
11077852,23053409,1
11077852,15552112,2
11077852,7130232,3
11077852,929402,2
11077852,541319,6
11077852,1492619,2
11077852,6230672,2
11077852,18795154,1
11077852,19713173,5
11077852,18494105,2
11077852,17487002,1
11077852,20493986,1
11077852,18801828,1
11077852,7836842,2
11077852,6707902,2
11077852,10178242,2
11077852,20384452,1
11077852,14546632,1
11077852,14649032,2
11077852,16062152,1
11077852,4705492,2
11077852,21747934,1
11077852,21174496,2
11077852,11184352,1
11077852,8771812,1
11077852,25681644,1
11077852,18361585,3
11077852,18243826,3
11077852,1505523,2
11077852,14566132,1
11077852,15297782,3
11077852,2496252,1
11077852,1358081,2
11077852,18562307,1
11077852,18456837,1
11077852,19728145,3
11077852,19262745,10
11077852,19416348,2
11077852,21651228,1
11077852,22643488,1
11077852,1169709,1
11077852,19997487,3
11077852,1697586,1
11077852,1360698,2
11077852,1526075,2
11077852,22585660,1
11077852,1078077,1
11077852,19108156,1
11077852,20757821,1
