event_id,member_id,group_id
237674735,81924252,20836828
237674735,196136292,20836828
236777375,102802112,20836828
236777375,133440072,20836828
236777375,187294708,20836828
236777375,14488312,20836828
236777375,214224363,20836828
236777375,81924252,20836828
236777375,218394062,20836828
235699507,102802112,20836828
235699507,129560482,20836828
235699507,133440072,20836828
235699507,187294708,20836828
235699507,171095192,20836828
235699507,10006822,20836828
235699507,210903142,20836828
235699507,14488312,20836828
235699507,214224363,20836828
235699507,81924252,20836828
235699507,218394062,20836828
235099346,102802112,20836828
235099346,133440072,20836828
235099346,187294708,20836828
235099346,171095192,20836828
235099346,10006822,20836828
235099346,210903142,20836828
235099346,81924252,20836828
243966491,201787805,26040985
243966491,91541222,26040985
243966491,226811920,26040985
243634313,201787805,26040985
243634313,91541222,26040985
243634313,56291452,26040985
243634313,136015092,26040985
243634313,2434993,26040985
243634313,196348087,26040985
243634313,189225336,26040985
235149668,139895532,20909584
235149668,215899857,20909584
235149668,82545112,20909584
235149668,3723852,20909584
235149668,187271983,20909584
235149668,183378188,20909584
235149668,194939680,20909584
235149668,115604192,20909584
235149668,214729620,20909584
243265876,157144422,22930798
243265876,5705522,22930798
msdswnywnblc,80142302,25810092
msdswnywnblc,221678171,25810092
msdswnywnblc,209156551,25810092
msdswnywnblc,92840882,25810092
msdswnywnblc,13621891,25810092
243482324,80142302,25810092
243482324,21563471,25810092
243482324,209156551,25810092
243482324,12803218,25810092
243482324,44248832,25810092
243482324,92840882,25810092
243803866,80142302,25810092
243803866,221678171,25810092
243803866,209156551,25810092
243803866,92840882,25810092
244278467,206821679,26294237
244278467,213203760,26294237
244278467,235931560,26294237
244278467,21656671,26294237
ctjgqnywnbpb,233083796,25493984
